Flow IAT Mean,Tot Bwd Pkts,Fwd Header Len,Fwd IAT Std,Init Bwd Win Byts,Subflow Fwd Pkts,Bwd Header Len,ECE Flag Cnt,Flow Duration,Subflow Fwd Byts,Fwd Pkt Len Max,Bwd IAT Std,Subflow Bwd Byts,CWE Flag Count,SYN Flag Cnt,Pkt Len Var,Pkt Len Std,Flow IAT Std,Bwd Pkts/s,Pkt Len Max,Pkt Size Avg,Active Mean,Flow IAT Max,RST Flag Cnt,Idle Std,Bwd Pkt Len Max,Fwd IAT Mean,Bwd IAT Min,Fwd Pkt Len Std,Active Std,Fwd IAT Min,Bwd IAT Mean,Idle Max,Idle Min,Label,Pkt Len Mean,Pkt Len Min,Bwd Pkt Len Std,Tot Fwd Pkts,TotLen Fwd Pkts,Fwd Pkts/s,Bwd Seg Size Avg,Fwd Seg Size Avg,Dst Port,Fwd IAT Max,Down/Up Ratio,Fwd Seg Size Min,Init Fwd Win Byts,Fwd Pkt Len Min,Bwd IAT Max,Fwd Act Data Pkts,PSH Flag Cnt,Protocol,ACK Flag Cnt,Flow IAT Min,Subflow Bwd Pkts,Active Min,Fwd Pkt Len Mean,Fwd PSH Flags,FIN Flag Cnt,Fwd URG Flags,URG Flag Cnt,Active Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd IAT Tot,Idle Mean,Fwd IAT Tot,TotLen Bwd Pkts
84630,763170.7,4.0,92.0,35534.492,141.0,4.0,92.0,0.0,5342195.0,97.0,97.0,3083795.0,231.0,0.0,0.0,6352.028,79.69960999999998,1991955.5,0.7487559,231.0,41.0,0.0,5280205.0,0.0,0.0,231.0,20663.334,200.0,48.5,0.0,103.0,1780680.4,0.0,0.0,0.0,36.444443,0.0,115.5,4.0,97.0,0.7487559,57.75,24.25,80.0,61695.0,1.0,20.0,8192.0,0.0,5341540.0,1.0,1.0,6.0,0.0,38.0,4.0,0.0,24.25,0.0,0.0,0.0,0.0,0.0,0.0,57.75,5342041.0,0.0,61990.0,231.0
12175,87100000.0,0.0,40.0,0.0,-1.0,2.0,0.0,0.0,87085736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87100000.0,0.0,0.0,0.0,87100000.0,0.0,0.0,0.0,87100000.0,0.0,87100000.0,87100000.0,1.0,0.0,0.0,0.0,2.0,0.0,0.022965875,0.0,0.0,80.0,87100000.0,0.0,20.0,2049.0,0.0,0.0,0.0,0.0,6.0,1.0,87100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87100000.0,87100000.0,0.0
81814,470.0,0.0,64.0,0.0,-1.0,2.0,0.0,0.0,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,0.0,0.0,0.0,470.0,0.0,0.0,0.0,470.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4255.3193,0.0,0.0,80.0,470.0,0.0,32.0,225.0,0.0,0.0,0.0,0.0,6.0,1.0,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,0.0
19927,820105.1,4.0,92.0,35613.297,141.0,4.0,92.0,0.0,5740736.0,97.0,97.0,3313887.2,232.0,0.0,0.0,6400.778,80.00486,2142521.8,0.6967748,232.0,41.125,0.0,5678611.0,0.0,0.0,232.0,20708.334,199.0,48.5,0.0,106.0,1913528.6,0.0,0.0,0.0,36.555557,0.0,116.0,4.0,97.0,0.6967748,58.0,24.25,80.0,61831.0,1.0,20.0,8192.0,0.0,5740076.0,1.0,1.0,6.0,0.0,38.0,4.0,0.0,24.25,0.0,0.0,0.0,0.0,0.0,0.0,58.0,5740586.0,0.0,62125.0,232.0
83809,11700000.0,0.0,40.0,0.0,-1.0,2.0,0.0,0.0,11671172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11700000.0,0.0,0.0,0.0,11700000.0,0.0,0.0,0.0,11700000.0,0.0,11700000.0,11700000.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1713624,0.0,0.0,80.0,11700000.0,0.0,20.0,2049.0,0.0,0.0,0.0,0.0,6.0,1.0,11700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11700000.0,11700000.0,0.0
38917,258.0,1.0,8.0,0.0,-1.0,1.0,8.0,0.0,258.0,42.0,42.0,0.0,58.0,0.0,0.0,85.333336,9.237604,0.0,3875.969,58.0,71.0,0.0,258.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.333332,42.0,0.0,1.0,42.0,3875.969,58.0,42.0,53.0,0.0,1.0,8.0,-1.0,42.0,0.0,0.0,0.0,17.0,0.0,258.0,1.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,0.0,0.0,0.0,58.0
39609,487.0,0.0,40.0,0.0,-1.0,2.0,0.0,0.0,487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487.0,0.0,0.0,0.0,487.0,0.0,0.0,0.0,487.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4106.7764,0.0,0.0,8080.0,487.0,0.0,20.0,2052.0,0.0,0.0,0.0,0.0,6.0,1.0,487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487.0,0.0
18664,162205.0,4.0,72.0,243.24473270000001,211.0,3.0,92.0,1.0,973230.0,20.0,20.0,561568.9997,964.0,0.0,0.0,115523.4286,339.8873763,397134.3242,4.110025379,964.0,140.5714286,0.0,972852.0,1.0,0.0,964.0,173.0,26.0,11.54700538,0.0,1.0,324408.0,0.0,0.0,1.0,123.0,0.0,482.0,3.0,20.0,3.082519035,241.0,6.666666667,80.0,345.0,1.0,20.0,8192.0,0.0,972852.0,1.0,1.0,6.0,0.0,1.0,4.0,0.0,6.666666667,0.0,0.0,0.0,0.0,0.0,0.0,241.0,973224.0,0.0,346.0,964.0
55890,683.0,0.0,64.0,0.0,-1.0,2.0,0.0,0.0,683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683.0,0.0,0.0,0.0,683.0,0.0,0.0,0.0,683.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2928.2576,0.0,0.0,80.0,683.0,0.0,32.0,225.0,0.0,0.0,0.0,0.0,6.0,1.0,683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683.0,0.0
2829,903.0,1.0,8.0,0.0,-1.0,1.0,8.0,0.0,903.0,39.0,39.0,0.0,89.0,0.0,0.0,833.3333,28.867514,0.0,1107.4197,89.0,83.5,0.0,903.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.66666800000001,39.0,0.0,1.0,39.0,1107.4197,89.0,39.0,53.0,0.0,1.0,8.0,-1.0,39.0,0.0,0.0,0.0,17.0,0.0,903.0,1.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,89.0,89.0,0.0,0.0,0.0,89.0
14001,1.0,1.0,40.0,0.0,0.0,1.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1000000.0,0.0,0.0,21.0,0.0,1.0,40.0,26883.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22746,1144.0,0.0,40.0,0.0,-1.0,2.0,0.0,0.0,1144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1144.0,0.0,0.0,0.0,1144.0,0.0,0.0,0.0,1144.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1748.2517,0.0,0.0,80.0,1144.0,0.0,20.0,32738.0,0.0,0.0,0.0,0.0,6.0,1.0,1144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1144.0,0.0
66957,1177.0,1.0,8.0,0.0,-1.0,1.0,8.0,0.0,1177.0,38.0,38.0,0.0,86.0,0.0,0.0,768.0,27.712812,0.0,849.6177,86.0,81.0,0.0,1177.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,38.0,0.0,1.0,38.0,849.6177,86.0,38.0,53.0,0.0,1.0,8.0,-1.0,38.0,0.0,0.0,0.0,17.0,0.0,1177.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,86.0,86.0,0.0,0.0,0.0,86.0
95637,216.66667,4.0,72.0,340.11835,219.0,3.0,92.0,1.0,1300.0,339.0,339.0,523.7366,935.0,0.0,0.0,112323.07,335.14633,288.13583,3076.923,935.0,182.0,0.0,750.0,1.0,0.0,935.0,509.5,22.0,195.72174,0.0,269.0,432.0,0.0,0.0,1.0,159.25,0.0,467.5,3.0,339.0,2307.6924,233.75,113.0,80.0,750.0,1.0,20.0,65535.0,0.0,1022.0,1.0,1.0,6.0,0.0,4.0,4.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,233.75,1296.0,0.0,1019.0,935.0
89862,180636.5,4.0,72.0,262.3366,211.0,3.0,92.0,1.0,1083819.0,20.0,20.0,625396.8,964.0,0.0,0.0,115523.43,339.8874,442270.34,3.6906529999999997,964.0,140.57143,0.0,1083417.0,1.0,0.0,964.0,187.5,20.0,11.547006,0.0,2.0,361271.0,0.0,0.0,1.0,123.0,0.0,482.0,3.0,20.0,2.7679899,241.0,6.666666499999999,80.0,373.0,1.0,20.0,8192.0,0.0,1083417.0,1.0,1.0,6.0,0.0,2.0,4.0,0.0,6.666666499999999,0.0,0.0,0.0,0.0,0.0,0.0,241.0,1083813.0,0.0,375.0,964.0
14842,215621.17,4.0,72.0,189.50462,211.0,3.0,92.0,1.0,1293727.0,20.0,20.0,746632.56,964.0,0.0,0.0,115523.43,339.8874,527989.4,3.0918424,964.0,140.57143,0.0,1293375.0,1.0,0.0,964.0,159.0,22.0,11.547006,0.0,25.0,431238.0,0.0,0.0,1.0,123.0,0.0,482.0,3.0,20.0,2.3188817999999998,241.0,6.666666499999999,80.0,293.0,1.0,20.0,8192.0,0.0,1293375.0,1.0,1.0,6.0,0.0,12.0,4.0,0.0,6.666666499999999,0.0,0.0,0.0,0.0,0.0,0.0,241.0,1293714.0,0.0,318.0,964.0
3605,203789.17,4.0,72.0,174.65538,211.0,3.0,92.0,1.0,1222735.0,20.0,20.0,705602.3,964.0,0.0,0.0,115523.43,339.8874,498984.03,3.2713547000000003,964.0,140.57143,0.0,1222336.0,1.0,0.0,964.0,182.5,29.0,11.547006,0.0,59.0,407576.66,0.0,0.0,1.0,123.0,0.0,482.0,3.0,20.0,2.453516,241.0,6.666666499999999,80.0,306.0,1.0,20.0,8192.0,0.0,1222336.0,1.0,1.0,6.0,0.0,5.0,4.0,0.0,6.666666499999999,0.0,0.0,0.0,0.0,0.0,0.0,241.0,1222730.0,0.0,365.0,964.0
11962,3574734.0,16.0,372.0,4504793.5,176.0,18.0,464.0,0.0,117966222.0,879.0,434.0,4382383.5,1412.0,0.0,0.0,35989.195,189.70819,4681719.0,0.13563205,706.0,67.382355,310697.53,10001768.0,0.0,869.1779,706.0,6939189.5,96164.0,140.12567,711973.4,186.0,7561594.0,10001768.0,9999653.0,0.0,65.457146,0.0,241.14491,18.0,879.0,0.15258606,88.25,48.833332,80.0,10097803.0,0.0,20.0,8192.0,0.0,10150410.0,13.0,1.0,6.0,0.0,47.0,16.0,95987.0,48.833332,0.0,0.0,0.0,0.0,2457378.0,0.0,88.25,113423907.0,10000566.0,117966222.0,1412.0
59156,4664556.5,13.0,272.0,22610638.0,31.0,13.0,272.0,1.0,116613916.0,593.0,193.0,22640168.0,4958.0,0.0,0.0,208773.1,456.91696,16089495.0,0.11147898,1460.0,213.5,143864.0,58264738.0,1.0,198889.34,1460.0,9717826.0,0.0,68.22333499999999,93230.62,230.0,9711356.0,58264738.0,57983466.0,0.0,205.59259,0.0,618.83875,13.0,593.0,0.11147898,381.3846,45.615383,443.0,58264738.0,1.0,20.0,8192.0,0.0,58300133.0,6.0,1.0,6.0,0.0,0.0,13.0,77940.0,45.615383,0.0,0.0,0.0,0.0,209788.0,0.0,381.3846,116536266.0,58124104.0,116613916.0,4958.0
95776,290106.1,8.0,252.0,840041.6,62948.0,12.0,172.0,1.0,5512016.0,1052.0,581.0,1033681.2,1429.0,0.0,0.0,73389.83,270.90558,656997.9,1.4513747,1149.0,124.05,0.0,2782562.0,1.0,0.0,1149.0,501092.38,3977.0,169.50374,0.0,125.0,749972.1,0.0,0.0,0.0,118.14286,0.0,395.94046,12.0,1052.0,2.1770618,178.625,87.666664,3389.0,2782562.0,0.0,20.0,8192.0,0.0,2910750.0,5.0,1.0,6.0,0.0,88.0,8.0,0.0,87.666664,0.0,0.0,0.0,0.0,0.0,0.0,178.625,5249805.0,0.0,5512016.0,1429.0
74309,112216.0,4.0,72.0,290.62088,211.0,3.0,92.0,1.0,673296.0,20.0,20.0,388351.25,964.0,0.0,0.0,115523.43,339.8874,274657.4,5.9409237,964.0,140.57143,0.0,672858.0,1.0,0.0,964.0,206.5,16.0,11.547006,0.0,1.0,224428.67,0.0,0.0,1.0,123.0,0.0,482.0,3.0,20.0,4.455693,241.0,6.666666499999999,80.0,412.0,1.0,20.0,8192.0,0.0,672858.0,1.0,1.0,6.0,0.0,1.0,4.0,0.0,6.666666499999999,0.0,0.0,0.0,0.0,0.0,0.0,241.0,673286.0,0.0,413.0,964.0
46316,4.0,1.0,32.0,0.0,230.0,1.0,32.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,250000.0,0.0,0.0,22.0,0.0,1.0,32.0,241.0,0.0,0.0,0.0,0.0,6.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38781,1.0,1.0,40.0,0.0,0.0,1.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1000000.0,0.0,0.0,21.0,0.0,1.0,40.0,26883.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97430,18641.0,1.0,8.0,0.0,-1.0,1.0,8.0,0.0,18641.0,39.0,39.0,0.0,95.0,0.0,0.0,1045.3334,32.331615,0.0,53.64519,95.0,86.5,0.0,18641.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.66666800000001,39.0,0.0,1.0,39.0,53.64519,95.0,39.0,53.0,0.0,1.0,8.0,-1.0,39.0,0.0,0.0,0.0,17.0,0.0,18641.0,1.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,95.0,95.0,0.0,0.0,0.0,95.0
52632,3134536.05405405,18.0,412.0,4963635.58557041,40958.0,20.0,364.0,1.0,115977834.0,1120.0,804.0,4995301.06019892,1645.0,0.0,0.0,60858.673414305,246.6955074871,4634022.86018203,0.1552020708,1330.0,72.7631578947,84419.3636363636,10132338.0,1.0,42626.7532708998,1330.0,6104096.52631579,1.0,183.1016398788,45921.3132353001,27.0,6586904.82352941,10132338.0,10038521.0,0.0,70.8974358974,0.0,312.3542745193,20.0,1120.0,0.1724467453,91.3888888889,56.0,443.0,10202861.0,0.0,20.0,8192.0,0.0,10203137.0,15.0,1.0,6.0,0.0,1.0,18.0,70486.0,56.0,0.0,0.0,0.0,0.0,222877.0,0.0,91.3888888889,111977382.0,10095340.7272727,115977834.0,1645.0
50505,230707.83,4.0,72.0,161.22035,211.0,3.0,92.0,1.0,1384247.0,20.0,20.0,798901.8,964.0,0.0,0.0,115523.43,339.8874,564949.44,2.8896577000000003,964.0,140.57143,0.0,1383906.0,1.0,0.0,964.0,156.0,21.0,11.547006,0.0,42.0,461413.66,0.0,0.0,1.0,123.0,0.0,482.0,3.0,20.0,2.1672432,241.0,6.666666499999999,80.0,270.0,1.0,20.0,8192.0,0.0,1383906.0,1.0,1.0,6.0,0.0,6.0,4.0,0.0,6.666666499999999,0.0,0.0,0.0,0.0,0.0,0.0,241.0,1384241.0,0.0,312.0,964.0
30658,2.0,1.0,24.0,0.0,0.0,1.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,500000.0,0.0,0.0,6692.0,0.0,1.0,24.0,1024.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60567,605461.1,3.0,168.0,2067215.1,211.0,5.0,104.0,0.0,4238228.0,935.0,935.0,23210.072,374.0,0.0,0.0,102964.28,320.88046,1567507.8,0.707843,935.0,163.625,0.0,4159965.0,0.0,0.0,374.0,1059557.0,20296.0,418.1447,0.0,28.0,36708.0,0.0,0.0,0.0,145.44444,0.0,215.929,5.0,935.0,1.1797383,124.66666399999998,187.0,43280.0,4159972.0,0.0,32.0,219.0,0.0,53120.0,1.0,0.0,6.0,1.0,6.0,3.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,124.66666399999998,73416.0,0.0,4238228.0,374.0
40951,46744.0,1.0,40.0,0.0,7230.0,2.0,20.0,0.0,93488.0,74.0,74.0,0.0,126.0,0.0,1.0,2686.3333,51.82985,217.7889,10.69656,126.0,91.333336,0.0,46898.0,0.0,0.0,126.0,93488.0,0.0,52.3259,0.0,93488.0,0.0,0.0,0.0,0.0,68.5,0.0,0.0,2.0,74.0,21.39312,126.0,37.0,443.0,93488.0,0.0,20.0,258.0,0.0,0.0,0.0,0.0,6.0,1.0,46590.0,1.0,0.0,37.0,1.0,0.0,0.0,0.0,0.0,126.0,126.0,0.0,0.0,93488.0,126.0
55628,22900000.0,0.0,40.0,0.0,-1.0,2.0,0.0,0.0,22905409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22900000.0,0.0,0.0,0.0,22900000.0,0.0,0.0,0.0,22900000.0,0.0,22900000.0,22900000.0,1.0,0.0,0.0,0.0,2.0,0.0,0.08731562,0.0,0.0,80.0,22900000.0,0.0,20.0,2049.0,0.0,0.0,0.0,0.0,6.0,1.0,22900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22900000.0,22900000.0,0.0
21420,345.0,1.0,8.0,0.0,-1.0,1.0,8.0,0.0,345.0,42.0,42.0,0.0,58.0,0.0,0.0,85.333336,9.237604,0.0,2898.5508,58.0,71.0,0.0,345.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.333332,42.0,0.0,1.0,42.0,2898.5508,58.0,42.0,53.0,0.0,1.0,8.0,-1.0,42.0,0.0,0.0,0.0,17.0,0.0,345.0,1.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,0.0,0.0,0.0,58.0
